 , , , , , , , , , 
 , ,Year 2000,,,,Year 2020,,,
Country,Type of region,GDP per capita (current US$),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Mortality rate, under-5 (per 1,000 live births)",GDP per capita (current US$),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Mortality rate, under-5 (per 1,000 live births)"
Afghanistan,Country,,,,129.20,517 ,,,58.00
Albania,Country,"1,127 ",,,27.20,"5,246 ",,,9.80
Algeria,Country,"1,765 ",,,39.70,"3,307 ",,,22.70
American Samoa,Country,,,,,"12,845 ",,,
Andorra,Country,"21,854 ",,,8.20,,,,2.50
Angola,Country,557 ,,,204.40,"1,776 ",,,71.50
Antigua and Barbuda,Country,"10,872 ",,,15.50,"13,993 ",,,6.40
Argentina,Country,"7,708 ",,,19.60,"8,579 ",,,8.60
Armenia,Country,623 ,,,30.60,"4,266 ",99.74,99.84,10.90
Aruba,Country,"20,618 ",97.07,97.54,,,,,
Australia,Country,"21,698 ",,,6.20,"51,680 ",,,3.70
Austria,Country,"24,626 ",,,5.50,"48,589 ",,,3.60
Azerbaijan,Country,655 ,,,74.40,"4,221 ",,,19.40
"Bahamas, The",Country,"27,098 ",,,16.30,"25,194 ",,,12.30
Bahrain,Country,"13,636 ",,,12.50,"20,410 ",,,6.80
Bangladesh,Country,418 ,,,86.00,"1,962 ",72.00,77.82,29.10
Barbados,Country,"11,268 ",,,15.10,"15,374 ",,,12.20
Belarus,Country,"1,276 ",,,12.70,"6,424 ",,,2.90
Belgium,Country,"23,099 ",,,5.80,"45,205 ",,,4.20
Belize,Country,"3,364 ",77.12,76.68,23.60,"4,115 ",,,11.70
Benin,Country,513 ,,,136.80,"1,291 ",,,85.90
Bhutan,Country,718 ,,,77.20,"3,001 ",,,27.60
Bolivia,Country,998 ,,,75.60,"3,133 ",,,25.40
Bosnia and Herzegovina,Country,"1,484 ",94.36,99.03,9.90,"6,080 ",,,5.70
Botswana,Country,"3,522 ",,,80.50,"6,405 ",,,44.80
Brazil,Country,"3,750 ",86.50,86.23,34.70,"6,797 ",,,14.70
British Virgin Islands,Country,,,,,,,,
Brunei Darussalam,Country,"18,013 ",,,10.30,"27,443 ",,,11.50
Bulgaria,Country,"1,621 ",,,17.50,"10,079 ",,,6.10
Burkina Faso,Country,256 ,,,178.90,858 ,,,85.00
Burundi,Country,136 ,52.24,67.31,154.50,239 ,,,54.40
Cabo Verde,Country,"1,259 ",69.44,83.84,38.10,"3,064 ",,,14.20
Cambodia,Country,301 ,,,106.30,"1,544 ",,,25.70
Cameroon,Country,681 ,58.72,79.19,143.90,"1,537 ",,,72.20
Canada,Country,"24,271 ",,,6.20,"43,258 ",,,5.00
Cayman Islands,Country,,,,,"85,083 ",,,
Central African Republic,Country,251 ,35.29,66.79,168.90,493 ,,,103.00
Chad,Country,166 ,12.80,40.83,184.00,659 ,,,110.00
Chile,Country,"5,075 ",,,10.90,"13,232 ",,,6.80
